item_name,item_id,item_category_id
"Handbook on remuneration and its calculation in the program ""1C: Salary and personnel management 8"" (version 3.0) (edition 11) [Digital version]",16257,0
Handbook on remuneration and its calculation in 1C: Salary and personnel management [Digital version],16256,0
Handbook 1C: Expert on technological issues. Filippov E.V.,16255,0
PARKER CHARLIE Charlie Parker With Strings LP,5441,0
Patapon 2 (Essentials) [PSP],5740,1
PS Vita: 4gamers Clean 'n' Protect Soft Blue Case (SPC9000BLU),5606,1
"Microsoft Xbox One 1TB Limited Edition Halo 5 + ""Halo 5. Limited Edition"" Console Pre-Order Kit [Digital Version]",13536,2
Xbox One Wireless Elite Pre-Order Kit [Digital Version],13535,2
"Xbox One Pre-Order Kit ""Standard Editions"" for 1C Interest [Digital Version]",13534,2
Spellbook Pack (PS Move only) [PS3 English] + Wonderbook,13517,2
"Set ""Spellbook (only for PS Move) [PS3, Russian version]"" + Camera PS Eye + Controller",13516,2
Detective Diggs Kit (PS Move required) [PS3 Russian] + Wonderbook,13515,2
"Set “Virtua Tennis 4 [PS3, Russian documentation]” + PS Eye Camera + PS Move Motion Controller",13510,2
Set “Sony PSP Slim Base Pack Black (PSP-E1008 / Rus) + game“ Cars 2 ”+ game“ Geronimo Stilton ”,13508,2
"Set ""Sony PSP Slim Base Pack Black (PSP-E1008 / Rus) +"" FIFA 2012 """,13506,2
Set “Sony PS4 (500 Gb) Black (CUH-1108A / B01)” + game “Driveclub”,13504,2
"Set “EyePet (Essentials) [PSP, Russian version]” + “Invizimals [PSP, Russian version] (Essentials)",13459,2
"Uncharted Trilogy set: “Uncharted 3. Illusions of Drake + Uncharted 2: Among Thieves [PS3, Russian",13456,2
Xbox 360 250GB + Gears of War Judgment Kit (R9G-00219),13414,2
Microsoft Xbox One 500GB (Day One Edition Green Box) + FIFA 15 + Forza Motorsport 5,13411,2
KUCHIN IVAN The fate of a thief LP,13070,2
KUCHIN IVAN The fate of a thief,13069,2
